date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:50	79594/79594	---MCZ	200	added ('OK')	text/html	etag:W/%22fc94ff6cd667e66969fc145e2de101c9%22	https://www.gob.pe/8858-acceder-a-educacion-a-distancia-aprendo-en-casa	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8858-acceder-a-educacion-a-distancia-aprendo-en-casa.html	(from https://www.gob.pe/coronavirus)
08:54:50	79734/79734	---MCZ	200	added ('OK')	text/html	etag:W/%22de8fe72b08cf3d7789448b4ca648c9f4%22	https://www.gob.pe/8861-solicitar-retiro-extraordinario-de-fondos-de-afp-por-el-estado-de-emergencia	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8861-solicitar-retiro-extraordinario-de-fondos-de-afp-por-el-estado-de-emergencia.html	(from https://www.gob.pe/coronavirus)
08:54:50	76139/76139	---MCZ	200	added ('OK')	text/html	etag:W/%226e54829ef18c46a935baf4751fd791d5%22	https://www.gob.pe/8895-coronavirus-apoyos-economicos-del-estado-por-el-aislamiento-social-obligatorio	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8895-coronavirus-apoyos-economicos-del-estado-por-el-aislamiento-social-obligatorio.html	(from https://www.gob.pe/coronavirus)
08:54:51	77846/77846	---MCZ	200	added ('OK')	text/html	etag:W/%222728d175a7fa9813df37b6a0c917d48f%22	https://www.gob.pe/8933-acceder-a-la-suspension-perfecta-de-labores	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8933-acceder-a-la-suspension-perfecta-de-labores.html	(from https://www.gob.pe/coronavirus)
08:54:51	79507/79507	---MCZ	200	added ('OK')	text/html	etag:W/%224922bed8f89f6992314c8b924bfbc704%22	https://www.gob.pe/8949-verificar-si-puedo-acceder-a-reactiva-peru	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8949-verificar-si-puedo-acceder-a-reactiva-peru.html	(from https://www.gob.pe/coronavirus)
08:54:51	81881/81881	---MCZ	200	added ('OK')	text/html	etag:W/%228e027fdef30690d54897c8e8bbd3e241%22	https://www.gob.pe/8992	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8992.html	(from https://www.gob.pe/coronavirus)
08:54:51	79495/79495	---MCZ	200	added ('OK')	text/html	etag:W/%2280e7f035d49cc96da6282b910d6bdfe3%22	https://www.gob.pe/institucion/minsa/informes-publicaciones/473587-prevencion-diagnostico-y-tratamiento-de-personas-afectadas-por-covid-19-en-el-peru	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/minsa/informes-publicaciones/473587-prevencion-diagnostico-y-tratamiento-de-personas-afectadas-por-covid-19-en-el-peru.html	(from https://www.gob.pe/coronavirus)
08:54:52	114199/114199	---MCZ	200	added ('OK')	text/html	etag:W/%22d1dac23ff11d156852882b3119649398%22	https://www.gob.pe/8998?colapsable_abierto=9	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8998338a.html	(from https://www.gob.pe/coronavirus)
08:54:52	75736/75736	---MCZ	200	added ('OK')	text/html	etag:W/%225998a053e75b7082ae841e58c3ff03ca%22	https://www.gob.pe/institucion/minsa/informes-publicaciones/579424-alerta-epidemiologica-ante-el-desplazamiento-de-ninos-ninas-y-adolescentes-menores-de-14-anos-y-transmision-de-covid-19-en-el-peru	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/minsa/informes-publicaciones/579424-alerta-epidemiologica-ante-el-desplazamiento-de-ninos-ninas-y-adolescentes-menores-de-14-anos-y-transmision-de-covid-19-en-el-peru.29	(from https://www.gob.pe/coronavirus)
08:54:53	74471/74471	---MCZ	200	added ('OK')	text/html	etag:W/%227e185353b6312797c17ba54100b841c5%22	https://www.gob.pe/institucion/mtpe/informes-publicaciones/541100-guia-para-la-aplicacion-del-trabajo-remoto	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/mtpe/informes-publicaciones/541100-guia-para-la-aplicacion-del-trabajo-remoto.html	(from https://www.gob.pe/coronavirus)
